Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,payoff
0,45.0,45.0,0.0,0.0,0.038662963,0
1,46.05843,46.05843,0.038662963,1.7807554,-0.0003473051,0
2,46.645676,46.35205,0.038315658,1.7645551,-0.0002336353,0
3,47.76621,46.823437,0.038082022,1.7533952,-0.00026012212,0
4,48.33626,47.20164,0.0378219,1.7408218,-0.0001237616,0
5,48.27433,47.41618,0.03769814,1.7348473,-8.928776e-05,0
6,48.360756,47.57361,0.03760885,1.7305293,-7.820502e-05,0
7,48.81738,47.751293,0.037530646,1.7267115,-7.4237585e-05,0
8,49.0837,47.917843,0.03745641,1.7230676,-7.6174736e-05,0
9,49.980145,48.146988,0.037380233,1.7192605,-6.873906e-05,0
10,50.167984,48.349087,0.037311494,1.715812,-6.813556e-05,0
11,48.636192,48.375187,0.03724336,1.7124981,-0.00010789186,0
12,49.154854,48.44016,0.037135467,1.7071947,-9.700656e-06,0
13,50.516705,48.599895,0.037125766,1.7067046,8.748472e-05,0
14,50.544163,48.73877,0.03721325,1.7111264,2.4162233e-05,0
15,51.46383,48.920444,0.037237413,1.7123699,6.588921e-05,0
16,51.556797,49.085213,0.037303302,1.7157669,2.206117e-05,0
17,51.024124,49.19927,0.037325364,1.7168926,3.5315752e-06,0
18,50.81538,49.289047,0.037328895,1.717072,2.104044e-05,0
19,51.553555,49.408234,0.037349936,1.7181567,6.0744584e-05,0
20,51.321156,49.503883,0.03741068,1.7212741,-6.1132014e-06,0
21,50.692024,49.56046,0.037404567,1.7209642,-5.6691468e-05,0
22,49.668262,49.565365,0.037347876,1.7181485,-0.00010572374,0
23,49.362473,49.55654,0.03724215,1.7129297,-5.9492886e-05,0
24,48.610794,49.51713,0.03718266,1.7100377,-8.2504004e-05,0
25,47.642456,49.44215,0.037100155,1.706107,-0.00011416152,0
26,47.105175,49.35226,0.036985993,1.7007294,-0.00013306737,0
27,46.79869,49.257687,0.036852926,1.694502,-0.000108368695,0
28,46.781784,49.169262,0.036744557,1.6894323,-7.8998506e-05,0
29,46.821693,49.088306,0.03666556,1.6857334,-7.4040145e-05,0
30,46.4411,49.00007,0.03659152,1.682295,-0.00011692941,0
31,46.037624,48.904507,0.03647459,1.6769118,-0.0001183711,0
32,45.549736,48.799675,0.03635622,1.6715201,-0.00012591854,0
33,45.656193,48.70441,0.0362303,1.6657711,-0.00015018508,0
34,44.678074,48.585995,0.036080115,1.6590612,-0.00030998886,0
35,44.133694,48.458782,0.035770126,1.6453803,-0.0002317056,0
36,44.571148,48.350792,0.03553842,1.6350529,-7.844716e-05,0
37,45.254787,48.267117,0.035459973,1.6315029,-4.1544437e-05,0
38,45.496193,48.1942,0.03541843,1.6296128,-0.00011643767,0
39,44.973717,48.11162,0.03530199,1.6243762,-0.00023948401,0
40,44.786785,48.028503,0.035062507,1.6136504,-0.00018524006,0
41,44.087692,47.932384,0.034877267,1.6054837,-0.00028653815,0
42,44.367092,47.847492,0.03459073,1.5927708,-0.00016736239,0
43,45.260044,47.787327,0.034423366,1.585196,-0.00010193512,0
44,45.96731,47.745956,0.03432143,1.5805104,-0.00011448935,0
45,45.32486,47.692154,0.03420694,1.5753212,-0.00023036823,0
46,45.082954,47.635433,0.033976573,1.5649356,-0.00019237027,0
47,45.207916,47.583786,0.033784203,1.5562389,-0.0001527816,0
48,45.421738,47.538742,0.03363142,1.5492992,-0.00014992058,0
49,45.42804,47.495667,0.0334815,1.5424887,-0.00015863404,0
50,45.504185,47.455833,0.033322867,1.5352702,-0.00013766438,0
51,46.634075,47.439728,0.033185203,1.5288503,1.6834587e-05,0
52,45.871784,47.409573,0.033202037,1.5296226,-0.0001404509,0
53,45.16791,47.36728,0.033061586,1.5232787,-0.00013523549,0
54,44.91974,47.32195,0.03292635,1.5172039,-6.6358596e-05,0
55,46.073505,47.299255,0.032859992,1.5141466,0.00013483688,0
56,47.19404,47.29737,0.03299483,1.5205101,0.00012826174,0
57,46.677303,47.28649,0.03312309,1.526497,-0.000106692314,0
58,46.516502,47.27322,0.0330164,1.5215341,-5.4571778e-05,0
59,47.084854,47.270023,0.032961827,1.5189645,5.8162957e-05,0
60,47.4533,47.27308,0.03301999,1.5217246,-4.8056245e-06,0
61,47.679157,47.279736,0.033015184,1.5214955,-2.6009977e-05,0
62,47.8581,47.289066,0.032989174,1.5202507,19.96701,0
63,47.441357,47.29148,20.0,948.78235,19.96701,tensor(-2.9528)
