Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,density,Probabilité action,payoff,verifTotalStock,VerifTotalSpent
0,100.0,100.0,0.0,0.0,-4.041038081049919,tensor([1.4537]),0.3178243041038513,-186.08473756480726,0.0,0.0
1,100.23986046265871,100.23986046265871,-4.041038081049919,-405.073093368734,-6.008940245110874,tensor([1.3296]),0.24586379528045654,-186.08473756480726,-4.041038081049919,-405.073093368734
2,100.03747002724491,100.13866524495181,-10.049978326160794,-1006.1922730345188,-5.862053745575329,tensor([1.3646]),0.2628389000892639,-186.08473756480726,-10.049978326160794,-1006.1922730345187
3,100.29800523430374,100.1917785747358,-15.912032071736123,-1594.144570292003,-0.7763813020756415,tensor([1.5631]),0.4695936441421509,-186.08473756480726,-15.912032071736121,-1594.144570292003
4,100.17288875180441,100.18705611900293,-16.688413373811763,-1671.9169280938074,-5.072144834516509,tensor([1.4300]),0.30100494623184204,-186.08473756480726,-16.688413373811763,-1671.9169280938072
5,100.73565555636513,100.29677600647537,-21.76055820832827,-2182.8627630756587,-8.15196381963366,tensor([1.2448]),0.21144315600395203,-186.08473756480726,-21.760558208328273,-2182.8627630756587
6,101.20365338947781,100.44792223697578,-29.91252202796193,-3007.871283921427,1.4453142187806205,tensor([1.5556]),0.5573694109916687,-186.08473756480726,-29.912522027961934,-3007.871283921427
7,101.41290182096775,100.58577646326034,-28.46720780918131,-2861.2977749517795,-9.896087843969536,tensor([1.1418]),0.17850160598754883,-186.08473756480726,-28.467207809181314,-2861.2977749517795
8,101.38463776311214,100.68563412574181,-38.36329565315084,-3864.609056284569,-5.537387774537048,tensor([1.4515]),0.3161512017250061,-186.08473756480726,-38.36329565315085,-3864.6090562845684
9,101.2937359817823,100.75320099863521,-43.90068342768789,-4425.511751547273,-25.30953095792193,tensor([-0.6859]),0.016909927129745483,-186.08473756480726,-43.900683427687895,-4425.511751547273
10,100.67650809713234,100.74553170848492,-69.21021438560982,-6973.586949967123,8.32509436629564,tensor([1.3917]),0.722527801990509,-186.08473756480726,-69.21021438560983,-6973.586949967122
11,100.24419815216321,100.6999559306375,-60.88512001931418,-6139.044540676724,-7.577353533820004,tensor([1.4024]),0.2836834192276001,-186.08473756480726,-60.885120019314186,-6139.044540676724
12,99.99716156531412,100.6413897335272,-68.46247355313419,-6896.758386235626,15.18078925947623,tensor([0.9896]),0.8585108518600464,-186.08473756480726,-68.46247355313419,-6896.758386235627
13,100.4515781890914,100.62678884549368,-53.28168429365796,-5371.824146965232,-5.139932965995769,tensor([1.4716]),0.33201098442077637,-186.08473756480726,-53.28168429365796,-5371.824146965231
14,100.81972641215124,100.64057010025496,-58.42161725965372,-5890.030782373722,-0.2373079470286705,tensor([1.5648]),0.4807240962982178,-186.08473756480726,-58.42161725965373,-5890.030782373722
15,100.68761092846518,100.64370615546893,-58.6589252066824,-5913.924752614378,-7.274568663955362,tensor([1.3939]),0.27874264121055603,-186.08473756480726,-58.6589252066824,-5913.924752614378
16,100.5900761358783,100.64035427924453,-65.93349387063776,-6645.6741683773225,-6.981221020460756,tensor([1.4230]),0.2964012026786804,-186.08473756480726,-65.93349387063776,-6645.6741683773225
17,100.22469460408271,100.61590371011737,-72.91471489109851,-7345.364913116604,0.680300221486262,tensor([1.5656]),0.5105379819869995,-186.08473756480726,-72.91471489109851,-7345.364913116605
18,101.1212712095073,100.64397968230571,-72.23441466961225,-7276.572089915805,21.572498473616406,tensor([0.4769]),0.9300074577331543,-186.08473756480726,-72.23441466961225,-7276.572089915805
19,101.17915896112262,100.67214701276977,-50.66191619599585,-5093.884837665195,-2.0996567282058276,tensor([1.5369]),0.4046975374221802,-186.08473756480726,-50.66191619599585,-5093.884837665195
20,101.33281279975724,100.70518030211912,-52.76157292420167,-5306.648959848227,8.23588661579573,tensor([1.4045]),0.7150880098342896,-186.08473756480726,-52.76157292420168,-5306.648959848227
21,101.91974032500895,100.76301649368531,-44.525686308405945,-4467.249534620109,2.0399658154002265,tensor([1.5622]),0.5345221161842346,-186.08473756480726,-44.525686308405945,-4467.249534620109
22,102.26641956360041,100.83135299686327,-42.485720493005715,-4258.629534646988,21.472904233932326,tensor([0.0862]),0.9573161602020264,-186.08473756480726,-42.48572049300572,-4258.629534646988
