Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,payoff
0,45.0,45.0,0.0,0.0,0.6394398,0
1,48.528103,48.528103,0.6394398,31.030802,0.7414043,0
2,50.48558,49.506844,1.3808441,68.46103,0.6578808,0
3,54.220695,51.078125,2.038725,104.13178,0.20734692,0
4,56.120872,52.338814,2.2460718,115.76827,0.27397084,0
5,55.914436,53.053936,2.5200427,131.0872,0.41478944,0
6,56.202522,53.5787,2.934832,154.39941,0.37035036,0
7,57.724598,54.17097,3.3051825,175.77774,0.27012825,0
8,58.612324,54.726143,3.5753107,191.61058,0.3154974,0
9,61.600483,55.489956,3.890808,211.04538,0.18391323,0
10,62.22662,56.163624,4.0747213,222.48969,0.3385105,0
11,57.12064,56.250626,4.413232,241.82562,0.6979909,0
12,58.84951,56.467197,5.1112227,282.90204,0.28068924,0
13,63.38902,56.99964,5.391912,300.69464,0.022898674,0
14,63.480537,57.462563,5.4148107,302.14825,0.35485506,0
15,66.5461,58.068134,5.7696657,325.76248,0.17024183,0
16,66.85599,58.61738,5.9399076,337.14417,0.3364253,0
17,65.08042,58.99756,6.276333,359.03888,0.48488522,0
18,64.3846,59.296833,6.761218,390.25803,0.41705036,0
19,66.84518,59.69412,7.1782684,418.13583,0.12338066,0
20,66.070526,60.01294,7.301649,426.28766,0.4167776,0
21,63.973415,60.20153,7.7184267,452.95035,0.5573139,0
22,60.560875,60.21786,8.275741,486.70178,0.71238995,0
23,59.541573,60.188465,8.988131,529.1186,0.52217865,0
24,57.03598,60.05711,9.510309,558.90155,4.5237103,0
25,53.808186,59.807148,14.034019,802.3142,5.9659805,0
26,52.017254,59.50754,20.0,1112.6482,0.0,0
27,50.995644,59.192284,20.0,1112.6482,0.0,0
28,50.939278,58.897533,20.0,1112.6482,0.0,0
29,51.07231,58.627697,20.0,1112.6482,0.0,0
30,49.80367,58.333565,20.0,1112.6482,0.0,0
31,48.458748,58.015022,20.0,1112.6482,0.0,0
32,46.832455,57.665565,20.0,1112.6482,0.0,0
33,47.187305,57.34804,20.0,1112.6482,0.0,0
34,43.92691,56.9533,20.0,1112.6482,0.0,0
35,42.112312,56.529274,20.0,1112.6482,0.0,0
36,43.570496,56.16931,20.0,1112.6482,0.0,0
37,45.849297,55.89039,20.0,1112.6482,0.0,0
38,46.65398,55.647327,20.0,1112.6482,0.0,0
39,44.912384,55.37207,20.0,1112.6482,0.0,0
40,44.28928,55.095,20.0,1112.6482,0.0,0
41,41.95898,54.774612,20.0,1112.6482,0.0,0
42,42.890305,54.491653,20.0,1112.6482,0.0,0
43,45.86681,54.291077,20.0,1112.6482,0.0,0
44,48.22437,54.1532,20.0,1112.6482,0.0,0
45,46.082863,53.973854,20.0,1112.6482,0.0,0
46,45.27651,53.784786,20.0,1112.6482,0.0,0
47,45.693058,53.61262,20.0,1112.6482,0.0,0
48,46.405792,53.462475,20.0,1112.6482,0.0,0
49,46.426792,53.318886,20.0,1112.6482,0.0,0
50,46.680614,53.186123,20.0,1112.6482,0.0,0
51,50.44692,53.132416,20.0,1112.6482,0.0,0
52,47.90595,53.031906,20.0,1112.6482,0.0,0
53,45.5597,52.89092,20.0,1112.6482,0.0,0
54,44.732464,52.73984,20.0,1112.6482,0.0,0
55,48.578346,52.664177,20.0,1112.6482,0.0,0
56,52.313465,52.657917,20.0,1112.6482,0.0,0
57,50.591015,52.62165,20.0,1112.6482,0.0,0
58,50.055008,52.5774,20.0,1112.6482,0.0,0
59,51.949512,52.566757,20.0,1112.6482,0.0,0
60,53.17767,52.57694,20.0,1112.6482,0.0,0
61,53.93052,52.59913,20.0,1112.6482,0.0,0
62,54.526997,52.630222,20.0,1112.6482,0.0,0
63,53.13786,52.638283,20.0,1112.6482,0.0,tensor(77.5027)
