Day,Price,Average_Price,Shares_Bought,Total_Shares,Total_Spent
0,45.0,45,-1.0039997100830078,0.0,0.0
1,46.15615,45,-1.0079079866409302,0.0,0.0
2,47.048523,45,-1.0116885900497437,0.0,0.0
3,47.588955,45,-1.019906997680664,0.0,0.0
4,46.32564,45,-1.0243459939956665,0.0,0.0
5,46.732693,45,-1.0218160152435303,0.0,0.0
6,45.991966,45,-1.0119372606277466,0.0,0.0
7,45.966125,45,-1.0025866031646729,0.0,0.0
8,45.003326,45,-0.9942165613174438,0.0,0.0
9,44.552044,45,-0.9828954935073853,0.0,0.0
10,45.54128,44,-0.9852960109710693,0.0,0.0
11,45.30579,44,-0.9771836996078491,0.0,0.0
12,44.463627,44,-0.9656919240951538,0.0,0.0
13,44.026897,44,-0.9508360624313354,0.0,0.0
14,43.69124,44,-0.9398084878921509,0.0,0.0
15,43.229935,43,-0.9219310283660889,0.0,0.0
16,43.6874,43,-0.918634295463562,0.0,0.0
17,44.67279,43,-0.9162416458129883,0.0,0.0
18,44.57703,43,-0.9093285799026489,0.0,0.0
19,44.27859,43,-0.8965668082237244,0.0,0.0
20,44.542343,43,-0.8845106959342957,0.0,0.0
21,44.087463,43,-0.8651854395866394,0.0,0.0
22,44.734455,43,-0.8518730401992798,0.0,0.0
23,45.214935,43,-0.8381054401397705,0.0,0.0
24,46.22331,43,-0.8306387662887573,0.0,0.0
25,46.990784,43,-0.820448637008667,0.0,0.0
26,47.76864,43,-0.812975287437439,0.0,0.0
27,48.13492,43,-0.8053573369979858,0.0,0.0
28,48.93576,43,-0.7980414628982544,0.0,0.0
29,48.796787,43,-0.781840980052948,0.0,0.0
30,48.821842,43,-0.7676867842674255,0.0,0.0
31,48.6709,43,-0.7507584095001221,0.0,0.0
32,49.186813,43,-0.742709755897522,0.0,0.0
33,48.35601,43,-0.7250673174858093,0.0,0.0
34,47.833267,43,-0.7206331491470337,0.0,0.0
35,47.69925,43,-0.721856951713562,0.0,0.0
36,48.729668,43,-0.7226681709289551,0.0,0.0
37,48.920998,43,-0.7241485118865967,0.0,0.0
38,48.666286,43,-0.7305890321731567,0.0,0.0
39,48.84972,43,-0.7389996647834778,0.0,0.0
40,48.384964,43,-0.7554363012313843,0.0,0.0
41,47.45042,43,-0.7775412797927856,0.0,0.0
42,48.047802,43,-0.7839339375495911,0.0,0.0
43,47.51993,43,-0.7921921014785767,0.0,0.0
44,47.15925,43,-0.7958298921585083,0.0,0.0
45,46.394756,43,-0.8014510273933411,0.0,0.0
46,47.668427,43,-0.8017683029174805,0.0,0.0
47,46.927635,43,-0.8110501766204834,0.0,0.0
48,46.660126,43,-0.8174521923065186,0.0,0.0
49,47.527206,43,-0.8182756304740906,0.0,0.0
50,48.041054,43,-0.8207820057868958,0.0,0.0
51,49.3719,43,-0.8191953897476196,0.0,0.0
52,49.6858,43,-0.8217248916625977,0.0,0.0
53,49.893787,43,-0.8225021362304688,0.0,0.0
54,49.775387,43,-0.8212857246398926,0.0,0.0
55,49.14263,43,-0.8202850818634033,0.0,0.0
56,48.679565,43,-0.8174065351486206,0.0,0.0
57,48.576252,43,-0.8204236030578613,0.0,0.0
58,48.890526,43,-0.8224362134933472,0.0,0.0
59,48.9245,43,-0.8233466148376465,0.0,0.0
60,49.18028,43,-0.8238787651062012,0.0,0.0
61,49.52528,43,-0.8243303894996643,0.0,0.0
62,49.140247,43,-0.8243455290794373,0.0,0.0
